sample_id,pop,location,reef,num_reads,total_bases,seq_depth,mapping_rate,genome_cov,mapping_depth,net_mapping_depth
TAY_22_S38,TAY,Taylor Reef,Outer,16837432,1691514448,3.47,96.33%,82.17%,3.1361,3.81645
TAY_23_S39,TAY,Taylor Reef,Outer,14733898,1479065118,3.04,96.99%,80.21%,2.77009,3.45363
TAY_24_S40,TAY,Taylor Reef,Outer,16042098,1611539647,3.31,90.13%,80.32%,2.78557,3.46825
TAY_2_S22,TAY,Taylor Reef,Outer,14931028,1499306151,3.08,96.63%,80.60%,2.79857,3.47201
TAY_3_S23,TAY,Taylor Reef,Outer,17336844,1741410471,3.58,91.20%,82.02%,3.06197,3.7333
TAY_4_S24,TAY,Taylor Reef,Outer,16841184,1691916570,3.48,94.34%,82.30%,3.0837,3.7467
TAY_6_S25,TAY,Taylor Reef,Outer,18986608,1908812923,3.92,94.66%,84.36%,3.47668,4.12121
TAY_7_S26,TAY,Taylor Reef,Outer,19580696,1968338941,4.04,94.87%,84.14%,3.59658,4.27464
TAY_8_S27,TAY,Taylor Reef,Outer,13434020,1349581510,2.77,93.60%,77.67%,2.43161,3.13059
TAY_9_S28,TAY,Taylor Reef,Outer,13781960,1385079660,2.85,93.79%,78.29%,2.50219,3.196
